888, 888 Holdings PLC
RNK, Rank Group PLC
ROR, Rotork PLC
ROSN, Rosneft Oil Co PJSC
RPS, RPS Group PLC
RR, Rolls-Royce Holdings PLC
RSW, Renishaw PLC
RTN1, Restaurant Group PLC-The
RTO, Rentokil Initial PLC
S32, South32 Ltd
SAFE, Safestore Holdings PLC
SAGA, Saga PLC
SBER, Sberbank of Russia PJSC
SBID, State Bank of India
SBRY, J Sainsbury PLC
SCT, Softcat PLC
SDR, Schroders PLC
SGC, Stagecoach Group PLC
SGE, Sage Group PLC
SGGD, Surgutneftegas OJSC
SGRO, Segro PLC
SHB, Shaftesbury PLC
SHI, SIG PLC
SKS, Renewi PLC
SL., Standard Life Aberdeen PLC
SMDS, DS Smith PLC
SMIN, Smiths Group PLC
SMP, St Modwen Properties PLC
SMSD, Samsung Electronics Co Ltd
SMSN, Samsung Electronics Co Ltd
SMWH, WH Smith PLC
SN.UK, Smith & Nephew PLC
SNNE, Sanne Group PLC
SNR, Senior PLC
SOLG, SolGold PLC
SPI, Spire Healthcare Group PLC
SPT, Spirent Communications PLC
SPX, Spirax-Sarco Engineering PLC
SRE1, Sirius Real Estate Ltd
SRP, Serco Group PLC
SSE, SSE PLC
SSPG, SSP Group Plc
STAN, Standard Chartered PLC
STCK, Stock Spirits Group PLC
STJ, St James's Place PLC
STOB, Stobart Group Ltd
SVS, Savills PLC
SVST, Severstal PJSC
SVT, Severn Trent PLC
SXS, Spectris PLC
SYNT, Synthomer PLC
TALK, TalkTalk Telecom Group PLC
TATE, Tate & Lyle PLC
TBCG, TBC Bank Group PLC
TED, Ted Baker PLC
TEM, Templeton Emerging Markets Investment Trust PLC
TEP1, Telecom Plus PLC
TIFS, TI Fluid Systems PLC
TLPR, TP ICAP PLC
TLW, Tullow Oil PLC
TPK, Travis Perkins PLC
TRIG, Renewables Infrastructure Group Ltd-The
TSCO, Tesco PLC
TTG, TT Electronics plc
TW, Taylor Wimpey PLC
UDG, UDG Healthcare PLC
ULE, Ultra Electronics Holdings PLC
ULVR, Unilever PLC
UTG, UNITE Group PLC-The
UU, United Utilities Group PLC
VEC, Vectura Group PLC
VEIL, Dragon Capital - Vietnam Enterprise Investments Ltd
VOD, Vodafone Group PLC
VSVS, Vesuvius PLC
VTBR, VTB Bank PJSC
WEIR, Weir Group PLC-The
WG., John Wood Group PLC
WIZZ, Wizz Air Holdings Plc
WKP, Workspace Group PLC
WMH, William Hill PLC
WPP, WPP PLC
WTB, Whitbread PLC
WWH, Worldwide Healthcare Trust PLC
